stop_id,stop_name,stop_lat,stop_lon
27.43153.15202304200617010,Stop 0,-27.42605,153.15008
27.47153.0220230420065935159,Stop 159,-27.46948,153.02472
27.47153.02202304200735090,Stop 0,-27.46948,153.02472
27.48153.022023042007471430,Stop 30,-27.47905,153.02313
27.48153.02202304200813020,Stop 0,-27.4788,153.02312
27.46153.032023042008333147,Stop 47,-27.45605,153.03348
27.46153.03202304200839550,Stop 0,-27.45605,153.03348
27.43153.1520230420091157121,Stop 121,-27.4256,153.15025
27.43153.15202304200937410,Stop 0,-27.42598,153.15008
27.48153.0420230420100654133,Stop 133,-27.48255,153.03632
27.48153.04202304201024480,Stop 0,-27.48255,153.03632
27.47153.032023042010381244,Stop 44,-27.47145,153.02598
27.47153.03202304201102240,Stop 0,-27.47092,153.02585
27.5153.0420230420120400111,Stop 111,-27.50053,153.03582
27.5153.04202304201224140,Stop 0,-27.50053,153.03582
27.44153.1320230420125641124,Stop 124,-27.4406,153.12762
27.44153.13202304201301310,Stop 0,-27.4406,153.12762
27.43153.152023042013384686,Stop 86,-27.42605,153.14997
27.43153.15202304210443170,Stop 0,-27.42603,153.1501
27.47153.0220230421051748132,Stop 132,-27.46937,153.02475
27.47153.02202304210556420,Stop 0,-27.46943,153.02462
27.48153.022023042106090731,Stop 31,-27.47905,153.02312
27.48153.02202304210618020,Stop 0,-27.47905,153.02312
27.43153.1520230421071621153,Stop 153,-27.42795,153.1468
27.43153.15202304210820240,Stop 0,-27.42598,153.15005
27.48153.0420230421092017176,Stop 176,-27.48255,153.03633
27.48153.04202304210921410,Stop 0,-27.48255,153.03633
27.46153.032023042109302430,Stop 30,-27.45603,153.03343
27.46153.03202304210942540,Stop 0,-27.45603,153.03343
27.47153.032023042109541434,Stop 34,-27.47137,153.0262
27.47153.03202304210954140,Stop 0,-27.47137,153.0262
27.5153.042023042110204542,Stop 42,-27.50067,153.03593
27.5153.04202304211030260,Stop 0,-27.50067,153.03593
27.43153.1520230421110702144,Stop 144,-27.42563,153.15032
27.43153.15202304211910140,Stop 0,-27.42605,153.15
27.45153.172023042119174640,Stop 40,-27.44568,153.17178
27.45153.17202304211925100,Stop 0,-27.44568,153.17178
27.43153.152023042119313836,Stop 36,-27.42603,153.14998
27.43153.15202304240624010,Stop 0,-27.42607,153.15012
27.47153.0220230424070107140,Stop 140,-27.46948,153.02468
27.47153.02202304240731150,Stop 0,-27.46947,153.02463
27.48153.022023042407451231,Stop 31,-27.47907,153.02317
27.48153.02202304240802500,Stop 0,-27.47852,153.02298
27.43153.1520230424084538141,Stop 141,-27.42558,153.15023
27.43153.15202304240904530,Stop 0,-27.42602,153.1501
27.44153.132023042409180746,Stop 46,-27.44058,153.12758
27.44153.13202304240922500,Stop 0,-27.44058,153.12758
27.47153.0320230424095822124,Stop 124,-27.47153,153.02613
27.47153.03202304240958220,Stop 0,-27.47153,153.02613
27.46153.032023042410223129,Stop 29,-27.45607,153.0334
27.46153.03202304241033020,Stop 0,-27.45607,153.0334
27.48153.042023042410450933,Stop 33,-27.48258,153.03633
27.48153.04202304241100020,Stop 0,-27.48258,153.03633
27.5153.042023042411074728,Stop 28,-27.50058,153.03582
27.49153.04202304241135430,Stop 0,-27.48678,153.03522
27.93153.1820230424124128447,Stop 447,-27.9297,153.18293
27.93153.18202304241321120,Stop 0,-27.92793,153.18487
27.43153.1520230424143220482,Stop 482,-27.42562,153.15025
27.43153.15202304241908110,Stop 0,-27.42608,153.14993
27.44153.172023042419155837,Stop 37,-27.44447,153.17175
27.44153.17202304241929480,Stop 0,-27.44447,153.17175
27.43153.152023042419364534,Stop 34,-27.42605,153.14993
27.43153.15202304260623150,Stop 0,-27.42598,153.14997
27.47153.0220230426071415160,Stop 160,-27.4694,153.02463
27.47153.02202304260738480,Stop 0,-27.4694,153.02463
27.48153.022023042607533735,Stop 35,-27.47908,153.02313
27.48153.02202304260818540,Stop 0,-27.47852,153.02298
27.49153.042023042608260226,Stop 26,-27.48682,153.03508
27.49153.03202304260909550,Stop 0,-27.48728,153.02982
27.43153.1520230426100221184,Stop 184,-27.42605,153.15017
27.43153.15202304261023420,Stop 0,-27.42598,153.15003
27.46153.0320230426105344126,Stop 126,-27.45605,153.0334
27.46153.03202304261102120,Stop 0,-27.45605,153.0334
27.47153.032023042611153329,Stop 29,-27.47175,153.02598
27.47153.03202304261131550,Stop 0,-27.47142,153.02607
27.48153.042023042611394128,Stop 28,-27.48253,153.03637
27.49153.03202304261210530,Stop 0,-27.48725,153.02963
27.5153.042023042612224427,Stop 27,-27.50047,153.0358
27.5153.04202304261244470,Stop 0,-27.50047,153.0358
27.48153.042023042612531122,Stop 22,-27.48135,153.03938
27.48153.04202304261313070,Stop 0,-27.48137,153.03938
27.43153.1520230426135103137,Stop 137,-27.42603,153.1499
27.43153.15202304261354570,Stop 0,-27.42617,153.15168
27.43153.152023042614264843,Stop 43,-27.42608,153.1499
27.43153.15202304270648360,Stop 0,-27.42597,153.15007
27.47153.0220230427075016177,Stop 177,-27.46943,153.0246
27.47153.02202304270826470,Stop 0,-27.46955,153.02447
27.43153.1520230427091208162,Stop 162,-27.426,153.15
27.43153.15202304270920350,Stop 0,-27.426,153.1501
27.46153.0320230427095333134,Stop 134,-27.45602,153.03342
27.46153.03202304271005510,Stop 0,-27.45602,153.03342
27.48153.042023042710135931,Stop 31,-27.48253,153.03635
27.48153.04202304271028410,Stop 0,-27.48253,153.03635
27.48153.022023042710404937,Stop 37,-27.4788,153.02225
27.48153.02202304271057240,Stop 0,-27.4788,153.02225
27.47153.032023042711104033,Stop 33,-27.47143,153.0262
27.47153.03202304271110400,Stop 0,-27.47143,153.0262
27.43153.1520230427115914135,Stop 135,-27.42553,153.15023
27.43153.15202304271235010,Stop 0,-27.42602,153.1501
27.5153.0420230427130926144,Stop 144,-27.50065,153.0359
27.5153.04202304271325460,Stop 0,-27.50065,153.0359
27.49153.042023042713330021,Stop 21,-27.48678,153.03518
27.48153.04202304271414500,Stop 0,-27.48148,153.0394
27.44153.132023042714292787,Stop 87,-27.4406,153.12762
27.44153.13202304271442150,Stop 0,-27.4406,153.12762
27.43153.152023042714545045,Stop 45,-27.4262,153.1517
27.43153.15202304280609220,Stop 0,-27.42607,153.15007
27.47153.0220230428064630158,Stop 158,-27.46942,153.02465
27.47153.02202304280723350,Stop 0,-27.46953,153.02462
27.43153.1520230428080127144,Stop 144,-27.42558,153.15027
27.43153.15202304280820460,Stop 0,-27.42598,153.15008
27.48153.0220230428085839159,Stop 159,-27.47898,153.02317
27.48153.02202304280918040,Stop 0,-27.47873,153.02307
27.47153.032023042809315843,Stop 43,-27.47145,153.02602
27.47153.03202304280931580,Stop 0,-27.47145,153.02602
27.48153.042023042810153669,Stop 69,-27.48258,153.03633
27.48153.04202304281024490,Stop 0,-27.48258,153.03633
27.5153.042023042810295924,Stop 24,-27.50062,153.03593
27.49153.03202304281139010,Stop 0,-27.48847,153.03478
27.48153.122023042812035487,Stop 87,-27.47772,153.12407
27.48153.12202304281233490,Stop 0,-27.47772,153.12405
27.43153.152023042812582289,Stop 89,-27.42558,153.1503
27.43153.15202304290517030,Stop 0,-27.42603,153.15007
27.47153.0220230429054706137,Stop 137,-27.4694,153.02488
27.47153.02202304290621540,Stop 0,-27.46942,153.02468
27.48153.022023042906292029,Stop 29,-27.47898,153.02317
27.48153.02202304290648140,Stop 0,-27.47902,153.02318
27.43153.1520230429072739158,Stop 158,-27.426,153.14993
27.43153.15202304290754180,Stop 0,-27.426,153.15005
27.48153.0420230429082003131,Stop 131,-27.48258,153.03632
27.48153.04202304290844070,Stop 0,-27.48258,153.03632
27.46153.032023042908512026,Stop 26,-27.45608,153.03342
27.46153.03202304290901310,Stop 0,-27.45605,153.03342
27.43153.1520230429093234143,Stop 143,-27.42603,153.14998
27.43153.15202304290941090,Stop 0,-27.42602,153.1501
27.4153.1120230429095930121,Stop 121,-27.39565,153.10733
27.4153.11202304291025480,Stop 0,-27.39565,153.10733
27.47153.032023042910511881,Stop 81,-27.47192,153.02647
27.47153.03202304291051180,Stop 0,-27.47192,153.02647
27.5153.042023042911185440,Stop 40,-27.50033,153.0359
27.5153.04202304291133160,Stop 0,-27.50033,153.0359
27.43153.1520230429120228144,Stop 144,-27.42552,153.15032
27.43153.15202304291234090,Stop 0,-27.42602,153.15015
27.33153.0620230429130508168,Stop 168,-27.3306,153.0577
27.33153.06202304291330510,Stop 0,-27.3306,153.0577
27.43153.1520230429141136183,Stop 183,-27.426,153.15002
27.43153.15202304300930460,Stop 0,-27.42602,153.15012
27.42153.0620230430094950108,Stop 108,-27.41513,153.05905
27.42153.06202304301017120,Stop 0,-27.41513,153.05905
27.43153.1520230430110131154,Stop 154,-27.42608,153.14998
27.43153.15202305010604320,Stop 0,-27.42603,153.1501
27.47153.0220230501064331147,Stop 147,-27.46945,153.02463
27.47153.02202305010721430,Stop 0,-27.4694,153.0246
27.44153.1320230501074230111,Stop 111,-27.4406,153.12763
27.44153.13202305010746030,Stop 0,-27.4406,153.12763
27.43153.152023050107533238,Stop 38,-27.4256,153.1503
27.43153.15202305010834530,Stop 0,-27.42602,153.1501
27.48153.0420230501090408131,Stop 131,-27.48257,153.03635
27.48153.04202305010927190,Stop 0,-27.48257,153.03635
27.48153.022023050109380630,Stop 30,-27.47897,153.0231
27.48153.02202305010959560,Stop 0,-27.47872,153.02308
27.5153.0420230501114222378,Stop 378,-27.50057,153.03592
27.49153.04202305011210300,Stop 0,-27.48675,153.03518
