stop_id,trip_id,timepoint,stop_sequence,arrival_time,departure_time
27.733153.2212023041212305239,T_66,1,2,12:30:52,12:30:52
27.733153.221202304121238130,T_67,1,1,12:38:13,12:38:13
27.426153.15220230412134336302,T_67,1,2,13:43:36,13:43:36
27.426153.15202304130626060,T_68,1,1,06:26:06,06:26:06
27.469153.02520230413070739151,T_68,1,2,07:07:39,07:07:39
27.469153.025202304130746150,T_69,1,1,07:46:15,07:46:15
27.479153.0232023041308002835,T_69,1,2,08:00:28,08:00:28
27.479153.023202304130815380,T_70,1,1,08:15:38,08:15:38
27.426153.1520230413084846135,T_70,1,2,08:48:46,08:48:46
27.426153.15202304130932090,T_71,1,1,09:32:09,09:32:09
27.483153.03620230413095949135,T_71,1,2,09:59:49,09:59:49
27.483153.036202304131022440,T_72,1,1,10:22:44,10:22:44
27.501153.0362023041310282723,T_72,1,2,10:28:27,10:28:27
27.501153.036202304131042480,T_73,1,1,10:42:48,10:42:48
27.487153.0352023041310495423,T_73,1,2,10:49:54,10:49:54
27.487153.035202304131057250,T_74,1,1,10:57:25,10:57:25
27.426153.1520230413115205172,T_74,1,2,11:52:05,11:52:05
27.426153.15202304131202520,T_75,1,1,12:02:52,12:02:52
27.449153.1732023041312162253,T_75,1,2,12:16:22,12:16:22
27.449153.173202304131229080,T_76,1,1,12:29:08,12:29:08
27.448153.1732023041312353425,T_76,1,2,12:35:34,12:35:34
27.449153.173202304131429540,T_77,1,1,14:29:54,14:29:54
27.426153.152023041314402538,T_77,1,2,14:40:25,14:40:25
27.426153.15202304131447410,T_78,1,1,14:47:41,14:47:41
27.521153.25720230413152511159,T_78,1,2,15:25:11,15:25:11
27.521153.257202304131525230,T_79,1,1,15:25:23,15:25:23
27.503153.222023041315385948,T_79,1,2,15:38:59,15:38:59
27.503153.22202304140306480,T_80,1,1,03:06:48,03:06:48
27.426153.1520230414033422137,T_80,1,2,03:34:22,03:34:22
27.426153.15202304140613270,T_81,1,1,06:13:27,06:13:27
27.501153.04520230414065113150,T_81,1,2,06:51:13,06:51:13
27.501153.045202304140737400,T_82,1,1,07:37:40,07:37:40
27.469153.0252023041407530551,T_82,1,2,07:53:05,07:53:05
27.469153.025202304140813030,T_83,1,1,08:13:03,08:13:03
27.426153.1520230414090330204,T_83,1,2,09:03:30,09:03:30
27.426153.15202304140933370,T_84,1,1,09:33:37,09:33:37
27.456153.03320230414100153126,T_84,1,2,10:01:53,10:01:53
27.456153.033202304141021590,T_85,1,1,10:21:59,10:21:59
27.472153.0262023041410430765,T_85,1,2,10:43:07,10:43:07
27.472153.026202304141043070,T_86,1,1,10:43:07,10:43:07
27.48153.0232023041411083535,T_86,1,2,11:08:35,11:08:35
27.48153.023202304141118170,T_87,1,1,11:18:17,11:18:17
27.483153.0362023041411255322,T_87,1,2,11:25:53,11:25:53
27.483153.036202304141144010,T_88,1,1,11:44:01,11:44:01
27.441153.1282023041412031490,T_88,1,2,12:03:14,12:03:14
27.441153.128202304141207200,T_89,1,1,12:07:20,12:07:20
27.426153.152023041412193040,T_89,1,2,12:19:30,12:19:30
27.426153.15202304141234340,T_90,1,1,12:34:34,12:34:34
27.501153.03620230414130612143,T_90,1,2,13:06:12,13:06:12
27.487153.035202304141338280,T_91,1,1,13:38:28,13:38:28
27.469153.0712023041413524444,T_91,1,2,13:52:44,13:52:44
27.469153.071202304141357480,T_92,1,1,13:57:48,13:57:48
27.426153.1520230414142115100,T_92,1,2,14:21:15,14:21:15
27.426153.15202304170619450,T_93,1,1,06:19:45,06:19:45
27.469153.02520230417070550168,T_93,1,2,07:05:50,07:05:50
27.47153.024202304170744050,T_94,1,1,07:44:05,07:44:05
27.479153.0232023041707582230,T_94,1,2,07:58:22,07:58:22
27.479153.023202304170817520,T_95,1,1,08:17:52,08:17:52
27.426153.1520230417085311138,T_95,1,2,08:53:11,08:53:11
27.426153.15202304170946420,T_96,1,1,09:46:42,09:46:42
27.483153.03620230417102011132,T_96,1,2,10:20:11,10:20:11
27.483153.036202304171038490,T_97,1,1,10:38:49,10:38:49
27.456153.0332023041710523034,T_97,1,2,10:52:30,10:52:30
27.456153.033202304171101150,T_98,1,1,11:01:15,11:01:15
27.481153.0362023041711101928,T_98,1,2,11:10:19,11:10:19
27.481153.036202304171115200,T_99,1,1,11:15:20,11:15:20
27.501153.0362023041711573362,T_99,1,2,11:57:33,11:57:33
27.501153.036202304171217340,T_100,1,1,12:17:34,12:17:34
27.471153.0272023041712315347,T_100,1,2,12:31:53,12:31:53
27.471153.027202304171231530,T_101,1,1,12:31:53,12:31:53
27.426153.1520230417132021140,T_101,1,2,13:20:21,13:20:21
27.426153.15202304180528400,T_102,1,1,05:28:40,05:28:40
27.469153.02520230418061212143,T_102,1,2,06:12:12,06:12:12
27.469153.025202304180636070,T_103,1,1,06:36:07,06:36:07
27.479153.0232023041806474930,T_103,1,2,06:47:49,06:47:49
27.479153.023202304180658030,T_104,1,1,06:58:03,06:58:03
27.456153.0332023041807132842,T_104,1,2,07:13:28,07:13:28
27.456153.033202304180725560,T_105,1,1,07:25:56,07:25:56
27.426153.1520230418080508124,T_105,1,2,08:05:08,08:05:08
27.426153.15202304180821480,T_106,1,1,08:21:48,08:21:48
27.483153.03620230418090347143,T_106,1,2,09:03:47,09:03:47
27.483153.036202304180921060,T_107,1,1,09:21:06,09:21:06
27.501153.0362023041809290325,T_107,1,2,09:29:03,09:29:03
27.501153.036202304180955320,T_108,1,1,09:55:32,09:55:32
27.471153.0262023041810493999,T_108,1,2,10:49:39,10:49:39
27.471153.026202304181049390,T_109,1,1,10:49:39,10:49:39
27.441153.12820230418112929109,T_109,1,2,11:29:29,11:29:29
27.441153.128202304181135280,T_110,1,1,11:35:28,11:35:28
27.426153.152023041811431137,T_110,1,2,11:43:11,11:43:11
27.426153.15202304181453550,T_111,1,1,14:53:55,14:53:55
27.503153.2220230418154413214,T_111,1,2,15:44:13,15:44:13
27.503153.22202304190305020,T_112,1,1,03:05:02,03:05:02
27.426153.1520230419032550117,T_112,1,2,03:25:50,03:25:50
27.426153.15202304190613200,T_113,1,1,06:13:20,06:13:20
27.469153.02520230419071318179,T_113,1,2,07:13:18,07:13:18
27.469153.025202304190733350,T_114,1,1,07:33:35,07:33:35
27.479153.0232023041907483140,T_114,1,2,07:48:31,07:48:31
27.479153.023202304190804400,T_115,1,1,08:04:40,08:04:40
27.481153.0332023041908120919,T_115,1,2,08:12:09,08:12:09
27.481153.033202304190822580,T_116,1,1,08:22:58,08:22:58
27.456153.0332023041908350929,T_116,1,2,08:35:09,08:35:09
27.456153.033202304190846220,T_117,1,1,08:46:22,08:46:22
27.426153.1520230419092704150,T_117,1,2,09:27:04,09:27:04
27.426153.15202304190943270,T_118,1,1,09:43:27,09:43:27
27.472153.02620230419101830137,T_118,1,2,10:18:30,10:18:30
27.472153.026202304191018300,T_119,1,1,10:18:30,10:18:30
27.481153.0362023041910435629,T_119,1,2,10:43:56,10:43:56
27.481153.04202304191121010,T_120,1,1,11:21:01,11:21:01
27.501153.0362023041911330729,T_120,1,2,11:33:07,11:33:07
27.501153.036202304191148340,T_121,1,1,11:48:34,11:48:34
27.436153.17320230419124109176,T_121,1,2,12:41:09,12:41:09
