stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
DC4424,10522,28.574027,76.952356,Pandwala Crossing,10522
DC4425,10523,28.582168,76.957902,Surhera Crossing,10523
DC4426,10524,28.587040,76.959128,KharKhari Nahar / Khera Dabur,10524
DC4432,10525,28.596312,76.964794,Khera Village 2,10525
DC4784,10526,28.606791,76.972726,Krishna Nagar / Gopal Nagar,10526
DC4461,10527,28.584638,76.995053,Jhatikra Crossing Pandwala Road,10527
DC4452,10528,28.572355,76.980956,Rewla Khanpur Crossing,10528
DC4454,10529,28.569584,76.977685,Purani Basti Rewla Khanpur,10529
DC5415,10530,28.835983,77.123838,Tikri Khurd,10530
DC4967,10531,28.836177,77.128390,Tikri Khurd Crossing / AMPC,10531
DC4979,10532,28.835604,77.128935,Tikri Khurd Crossing / AMPC,10532
DC4980,10533,28.824476,77.132311,Khampur Village,10533
DC5058,10534,28.810288,77.137092,Bakauli Village (GT Road),10534
DC4829,10535,28.801200,77.138967,Pwd Office,10535
DC4830,10536,28.796617,77.139600,Alipur Village GT Road,10536
DC4832,10537,28.793233,77.144150,Jind Pur Crossing,10537
DC4833,10538,28.788650,77.141467,Sai Mandir,10538
DC4834,10539,28.782107,77.141601,Budhpur GT Road,10539
DC4835,10540,28.777150,77.142633,Jain Mandir,10540
DC4836,10541,28.774167,77.143267,Nangli Poona (GT Road),10541
DC4837,10542,28.764956,77.146126,Gurudwara Siraspur GT Road,10542
U00736,10543,28.522481,77.082442,Kapashera Border,10543
U00759,10544,28.524517,77.083700,Kapashera Village,10544
U00808,10545,28.531234,77.088154,Kapashera Crossing,10545
U00834,10546,28.534492,77.090371,Samalkha Village,10546
U00856,10547,28.538205,77.091434,Samalkha Crossing,10547
NS0198,10548,28.541500,77.076820,Puspanjali G Block,10548
U00527BP,10549,28.544217,77.065083,Dwarka Road,10549
U00527,10550,28.547567,77.057117,Bharthal Under Pass,10550
DC4186,10551,28.551919,77.056631,Dwarka Sec-21 Metro Station,10551
DC4184,10552,28.554110,77.058580,Dwarka Sec-21 Crossing,10552
DC4288,10553,28.558065,77.061889,Dwarka Sec 22 Vivanta Hotel,10553
DC4935,10554,28.564150,77.062970,Dwarka Sec-20/21 Crossing,10554
DC4929,10555,28.566220,77.066910,Dwarka Sec-8 Metro Station,10555
DC4930,10556,28.562940,77.070740,Shahbad Mohammad Pur School,10556
DC4931,10557,28.559648,77.071398,Shahbad Mohammad Pur Village,10557
DC4932,10558,28.562780,77.070720,Shahbad Mohammad Pur School,10558
DC4933,10559,28.567543,77.066617,Dwarka Sec-8 Metro Station,10559
DC4936,10560,28.568520,77.067880,Dwarka Sec-8,10560
DC4937,10561,28.572520,77.069160,Bagdola Village,10561
DC4938,10562,28.575800,77.071340,Dwarka Sec-8 DTC Depot,10562
DC4939,10563,28.576500,77.075940,National Malariya Research Centre (Dwarka),10563
DC4940,10564,28.578180,77.077080,Dada Dev Mandir,10564
DC4941,10565,28.578760,77.076160,National Malariya Research Centre (Dwarka),10565
DC4942,10566,28.581500,77.070300,Royal Residency (Dwarka),10566
DC4943,10567,28.583670,77.067010,Munirka Flats (Dwarka),10567
U99908,10568,28.594499,77.073519,Dwarka Sec 1,10568
DC4846,10569,28.596870,77.080944,Sulabh International Centre,10569
DC4844,10570,28.600840,77.081990,Mahaveer Enclave III,10570
DC4843,10571,28.603530,77.082660,Dashrath Puri,10571
DC4841,10572,28.606540,77.081110,Vijay Enclave (Palam-Dabri Road),10572
DC4839,10573,28.608043,77.081954,Dabri Village,10573
U00781,10574,28.612833,77.086091,Dabri Crossing Dwarka Road,10574
