stop_id,trip_id,timepoint,stop_sequence,arrival_time,departure_time
27.47153.032023042109541434,T_139,1,2,608,608
27.47153.03202304210954140,T_140,1,1,608,608
27.5153.042023042110204542,T_140,1,2,665,665
27.5153.04202304211030260,T_141,1,1,656,656
27.43153.1520230421110702144,T_141,1,2,669,669
27.43153.15202304211910140,T_142,1,1,1164,1164
27.45153.172023042119174640,T_142,1,2,1203,1203
27.45153.17202304211925100,T_143,1,1,1175,1175
27.43153.152023042119313836,T_143,1,2,1209,1209
27.43153.15202304240624010,T_144,1,1,385,385
27.47153.0220230424070107140,T_144,1,2,428,428
27.47153.02202304240731150,T_145,1,1,466,466
27.48153.022023042407451231,T_145,1,2,477,477
27.48153.02202304240802500,T_146,1,1,532,532
27.43153.1520230424084538141,T_146,1,2,563,563
27.43153.15202304240904530,T_147,1,1,597,597
27.44153.132023042409180746,T_147,1,2,565,565
27.44153.13202304240922500,T_148,1,1,612,612
27.47153.0320230424095822124,T_148,1,2,620,620
27.47153.03202304240958220,T_149,1,1,620,620
27.46153.032023042410223129,T_149,1,2,653,653
27.46153.03202304241033020,T_150,1,1,635,635
27.48153.042023042410450933,T_150,1,2,654,654
27.48153.04202304241100020,T_151,1,1,662,662
27.5153.042023042411074728,T_151,1,2,714,714
27.49153.04202304241135430,T_152,1,1,738,738
27.93153.1820230424124128447,T_152,1,2,789,789
27.93153.18202304241321120,T_153,1,1,813,813
27.43153.1520230424143220482,T_153,1,2,892,892
27.43153.15202304241908110,T_154,1,1,1159,1159
27.44153.172023042419155837,T_154,1,2,1213,1213
27.44153.17202304241929480,T_155,1,1,1217,1217
27.43153.152023042419364534,T_155,1,2,1221,1221
27.43153.15202304260623150,T_156,1,1,398,398
27.47153.0220230426071415160,T_156,1,2,449,449
27.47153.02202304260738480,T_157,1,1,506,506
27.48153.022023042607533735,T_157,1,2,510,510
27.48153.02202304260818540,T_158,1,1,552,552
27.49153.042023042608260226,T_158,1,2,508,508
27.49153.03202304260909550,T_159,1,1,604,604
27.43153.1520230426100221184,T_159,1,2,623,623
27.43153.15202304261023420,T_160,1,1,665,665
27.46153.0320230426105344126,T_160,1,2,697,697
27.46153.03202304261102120,T_161,1,1,674,674
27.47153.032023042611153329,T_161,1,2,708,708
27.47153.03202304261131550,T_162,1,1,746,746
27.48153.042023042611394128,T_162,1,2,740,740
27.49153.03202304261210530,T_163,1,1,783,783
