block_id,direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name,wheelchair_accessible
4,0,R1,WK,R001_0,Thaikoodam,R1WKR212903,21:29 Thaikoodam,1
5,1,R1,WK,R001_1,Aluva,R1WKL062926,06:29 Aluva,1
5,0,R1,WK,R001_0,Thaikoodam,R1WKR070927,07:09 Thaikoodam,1
5,1,R1,WK,R001_1,Aluva,R1WKL075057,07:50 Aluva,1
5,0,R1,WK,R001_0,Thaikoodam,R1WKR083513,08:35 Thaikoodam,1
5,1,R1,WK,R001_1,Aluva,R1WKL091945,09:19 Aluva,1
5,0,R1,WK,R001_0,Thaikoodam,R1WKR100255,10:02 Thaikoodam,1
5,1,R1,WK,R001_1,Aluva,R1WKL104700,10:47 Aluva,1
5,0,R1,WK,R001_0,Thaikoodam,R1WKR113219,11:32 Thaikoodam,1
5,1,R1,WK,R001_1,Aluva,R1WKL121655,12:16 Aluva,1
5,0,R1,WK,R001_0,Thaikoodam,R1WKR130027,13:00 Thaikoodam,1
5,1,R1,WK,R001_1,Aluva,R1WKL134440,13:44 Aluva,1
5,0,R1,WK,R001_0,Thaikoodam,R1WKR142814,14:28 Thaikoodam,1
5,1,R1,WK,R001_1,Aluva,R1WKL151225,15:12 Aluva,1
5,0,R1,WK,R001_0,Thaikoodam,R1WKR155559,15:55 Thaikoodam,1
5,1,R1,WK,R001_1,Aluva,R1WKL164130,16:41 Aluva,1
5,0,R1,WK,R001_0,Thaikoodam,R1WKR172430,17:24 Thaikoodam,1
5,1,R1,WK,R001_1,Aluva,R1WKL180835,18:08 Aluva,1
5,0,R1,WK,R001_0,Thaikoodam,R1WKR185201,18:52 Thaikoodam,1
5,1,R1,WK,R001_1,Aluva,R1WKL193605,19:36 Aluva,1
5,0,R1,WK,R001_0,Thaikoodam,R1WKR201931,20:19 Thaikoodam,1
5,1,R1,WK,R001_1,Aluva,R1WKL210345,21:03 Aluva,1
5,0,R1,WK,R001_0,Thaikoodam,R1WKR214408,21:44 Thaikoodam,1
6,0,R1,WK,R001_0,Thaikoodam,R1WKR061300,06:13 Thaikoodam,1
6,1,R1,WK,R001_1,Aluva,R1WKL065730,06:57 Aluva,1
6,0,R1,WK,R001_0,Thaikoodam,R1WKR074043,07:40 Thaikoodam,1
6,1,R1,WK,R001_1,Aluva,R1WKL082219,08:22 Aluva,1
6,0,R1,WK,R001_0,Thaikoodam,R1WKR090435,09:04 Thaikoodam,1
6,1,R1,WK,R001_1,Aluva,R1WKL094840,09:48 Aluva,1
6,0,R1,WK,R001_0,Thaikoodam,R1WKR103207,10:32 Thaikoodam,1
6,1,R1,WK,R001_1,Aluva,R1WKL111610,11:16 Aluva,1
6,0,R1,WK,R001_0,Thaikoodam,R1WKR115937,11:59 Thaikoodam,1
6,1,R1,WK,R001_1,Aluva,R1WKL124355,12:43 Aluva,1
6,0,R1,WK,R001_0,Thaikoodam,R1WKR132729,13:27 Thaikoodam,1
6,1,R1,WK,R001_1,Aluva,R1WKL141140,14:11 Aluva,1
6,0,R1,WK,R001_0,Thaikoodam,R1WKR145514,14:55 Thaikoodam,1
6,1,R1,WK,R001_1,Aluva,R1WKL153925,15:39 Aluva,1
6,0,R1,WK,R001_0,Thaikoodam,R1WKR162015,16:20 Thaikoodam,1
6,1,R1,WK,R001_1,Aluva,R1WKL170425,17:04 Aluva,1
6,0,R1,WK,R001_0,Thaikoodam,R1WKR174751,17:47 Thaikoodam,1
6,1,R1,WK,R001_1,Aluva,R1WKL183155,18:31 Aluva,1
6,0,R1,WK,R001_0,Thaikoodam,R1WKR191713,19:17 Thaikoodam,1
6,1,R1,WK,R001_1,Aluva,R1WKL200145,20:01 Aluva,1
6,0,R1,WK,R001_0,Thaikoodam,R1WKR204501,20:45 Thaikoodam,1
6,1,R1,WK,R001_1,Aluva,R1WKL212845,21:28 Aluva,1
8,0,R1,WK,R001_0,Thaikoodam,R1WKR072028,07:20 Thaikoodam,1
8,1,R1,WK,R001_1,Aluva,R1WKL080057,08:00 Aluva,1
8,0,R1,WK,R001_0,Thaikoodam,R1WKR084106,08:41 Thaikoodam,1
8,1,R1,WK,R001_1,Aluva,R1WKL092535,09:25 Aluva,1
8,0,R1,WK,R001_0,Thaikoodam,R1WKR100845,10:08 Thaikoodam,1
8,1,R1,WK,R001_1,Aluva,R1WKL105250,10:52 Aluva,1
8,0,R1,WK,R001_0,Thaikoodam,R1WKR113809,11:38 Thaikoodam,1
8,1,R1,WK,R001_1,Aluva,R1WKL122340,12:23 Aluva,1
8,0,R1,WK,R001_0,Thaikoodam,R1WKR130712,13:07 Thaikoodam,1
8,1,R1,WK,R001_1,Aluva,R1WKL135125,13:51 Aluva,1
8,0,R1,WK,R001_0,Thaikoodam,R1WKR143459,14:34 Thaikoodam,1
8,1,R1,WK,R001_1,Aluva,R1WKL151910,15:19 Aluva,1
8,0,R1,WK,R001_0,Thaikoodam,R1WKR160244,16:02 Thaikoodam,1
8,1,R1,WK,R001_1,Aluva,R1WKL164710,16:47 Aluva,1
8,0,R1,WK,R001_0,Thaikoodam,R1WKR173020,17:30 Thaikoodam,1
8,1,R1,WK,R001_1,Aluva,R1WKL181425,18:14 Aluva,1
8,0,R1,WK,R001_0,Thaikoodam,R1WKR185751,18:57 Thaikoodam,1
8,1,R1,WK,R001_1,Aluva,R1WKL194155,19:41 Aluva,1
7,1,R1,WK,R001_1,Aluva,R1WKL072026,07:20 Aluva,1
7,0,R1,WK,R001_0,Thaikoodam,R1WKR080020,08:00 Thaikoodam,1
7,1,R1,WK,R001_1,Aluva,R1WKL084445,08:44 Aluva,1
7,0,R1,WK,R001_0,Thaikoodam,R1WKR092755,09:27 Thaikoodam,1
7,1,R1,WK,R001_1,Aluva,R1WKL101200,10:12 Aluva,1
11,0,R1,WK,R001_0,Thaikoodam,R1WKR080617,08:06 Thaikoodam,1
11,1,R1,WK,R001_1,Aluva,R1WKL085035,08:50 Aluva,1
11,0,R1,WK,R001_0,Thaikoodam,R1WKR093345,09:33 Thaikoodam,1
11,1,R1,WK,R001_1,Aluva,R1WKL101750,10:17 Aluva,1
11,0,R1,WK,R001_0,Thaikoodam,R1WKR105850,10:58 Thaikoodam,1
11,1,R1,WK,R001_1,Aluva,R1WKL114310,11:43 Aluva,1
11,0,R1,WK,R001_0,Thaikoodam,R1WKR122642,12:26 Thaikoodam,1
11,1,R1,WK,R001_1,Aluva,R1WKL131055,13:10 Aluva,1
11,0,R1,WK,R001_0,Thaikoodam,R1WKR135429,13:54 Thaikoodam,1
11,1,R1,WK,R001_1,Aluva,R1WKL143840,14:38 Aluva,1
11,0,R1,WK,R001_0,Thaikoodam,R1WKR152214,15:22 Thaikoodam,1
11,1,R1,WK,R001_1,Aluva,R1WKL160625,16:06 Aluva,1
11,0,R1,WK,R001_0,Thaikoodam,R1WKR164930,16:49 Thaikoodam,1
11,1,R1,WK,R001_1,Aluva,R1WKL173335,17:33 Aluva,1
11,0,R1,WK,R001_0,Thaikoodam,R1WKR181701,18:17 Thaikoodam,1
11,1,R1,WK,R001_1,Aluva,R1WKL190105,19:01 Aluva,1
11,0,R1,WK,R001_0,Thaikoodam,R1WKR194538,19:45 Thaikoodam,1
11,1,R1,WK,R001_1,Aluva,R1WKL202945,20:29 Aluva,1
11,0,R1,WK,R001_0,Thaikoodam,R1WKR211403,21:14 Thaikoodam,1
11,1,R1,WK,R001_1,Aluva,R1WKL215704,21:57 Aluva,1
13,0,R1,WK,R001_0,Thaikoodam,R1WKR081755,08:17 Thaikoodam,1
13,1,R1,WK,R001_1,Aluva,R1WKL090215,09:02 Aluva,1
13,0,R1,WK,R001_0,Thaikoodam,R1WKR094525,09:45 Thaikoodam,1
13,1,R1,WK,R001_1,Aluva,R1WKL102930,10:29 Aluva,1
13,0,R1,WK,R001_0,Thaikoodam,R1WKR111240,11:12 Thaikoodam,1
13,1,R1,WK,R001_1,Aluva,R1WKL115640,11:56 Aluva,1
13,0,R1,WK,R001_0,Thaikoodam,R1WKR124012,12:40 Thaikoodam,1
13,1,R1,WK,R001_1,Aluva,R1WKL132425,13:24 Aluva,1
13,0,R1,WK,R001_0,Thaikoodam,R1WKR140759,14:07 Thaikoodam,1
13,1,R1,WK,R001_1,Aluva,R1WKL145210,14:52 Aluva,1
13,0,R1,WK,R001_0,Thaikoodam,R1WKR153544,15:35 Thaikoodam,1
13,1,R1,WK,R001_1,Aluva,R1WKL161751,16:17 Aluva,1
13,0,R1,WK,R001_0,Thaikoodam,R1WKR170110,17:01 Thaikoodam,1
13,1,R1,WK,R001_1,Aluva,R1WKL174515,17:45 Aluva,1
13,0,R1,WK,R001_0,Thaikoodam,R1WKR182841,18:28 Thaikoodam,1
