shape_id,shape_dist_traveled,shape_pt_lon,shape_pt_sequence,shape_pt_lat
R001_0,15.280000000000006,76.2914,96,9.9943
R001_0,15.530000000000006,76.28986904978954,97,9.992680375541934
R001_0,15.670000000000007,76.28896847694678,98,9.991837212337712
R001_0,15.750000000000007,76.2884,99,9.9914
R001_0,15.850000000000007,76.28769232888261,100,9.990858822105993
R001_0,15.880000000000006,76.28752271426649,101,9.990707688393123
R001_0,16.040000000000006,76.2866665642994,102,9.989530433909946
R001_0,16.200000000000006,76.28595579828898,103,9.988297493903806
R001_0,16.270000000000007,76.28557618462433,104,9.98783613450657
R001_0,16.330000000000005,76.28523695539208,105,9.987462273825471
R001_0,16.370000000000005,76.28493811059225,106,9.987199775643736
R001_0,16.470000000000006,76.28420311392236,107,9.986690687657338
R001_0,16.580000000000005,76.28328638730667,108,9.986300916629386
R001_0,16.630000000000006,76.2828663892096,109,9.98614182627972
R001_0,16.680000000000007,76.28251100620437,110,9.985935008708877
R001_0,16.720000000000006,76.28226062272343,111,9.985664554764059
R001_0,16.750000000000007,76.28209908499379,112,9.985402055132067
R001_0,16.790000000000006,76.28199408546953,113,9.985075918930699
R001_0,16.840000000000007,76.28196985481007,114,9.984654327747034
R001_0,16.870000000000008,76.28201831612898,115,9.984375918175399
R001_0,16.980000000000008,76.2823,116,9.9834
R001_0,17.180000000000007,76.28290677364201,117,9.98173499268099
R001_0,17.420000000000005,76.28328254771993,118,9.979615207824892
R001_0,17.520000000000007,76.2834682550632,119,9.978780194386482
R001_0,17.740000000000006,76.28413160412475,120,9.976907355778346
R001_0,17.930000000000007,76.28458857792273,121,9.975295834867703
R001_0,18.550000000000008,76.28566145896912,122,9.96981747409136
R001_1,0.0,76.28566145896912,1,9.96981747409136
R001_1,0.62,76.28458857792273,2,9.975295834867703
R001_1,0.81,76.28413160412475,3,9.976907355778346
R001_1,1.03,76.2834682550632,4,9.978780194386482
R001_1,1.13,76.28328254771993,5,9.979615207824892
R001_1,1.37,76.28290677364201,6,9.98173499268099
R001_1,1.57,76.2823,7,9.9834
R001_1,1.68,76.28201831612898,8,9.984375918175399
R001_1,1.71,76.28196985481007,9,9.984654327747034
R001_1,1.76,76.28199408546953,10,9.985075918930699
R001_1,1.8,76.28209908499379,11,9.985402055132067
R001_1,1.83,76.28226062272343,12,9.985664554764059
R001_1,1.87,76.28251100620437,13,9.985935008708877
R001_1,1.92,76.2828663892096,14,9.98614182627972
R001_1,1.97,76.28328638730667,15,9.986300916629386
R001_1,2.08,76.28420311392236,16,9.986690687657338
R001_1,2.18,76.28493811059225,17,9.987199775643736
R001_1,2.22,76.28523695539208,18,9.987462273825471
R001_1,2.28,76.28557618462433,19,9.98783613450657
R001_1,2.35,76.28595579828898,20,9.988297493903806
R001_1,2.51,76.2866665642994,21,9.989530433909946
R001_1,2.67,76.28752271426649,22,9.990707688393123
R001_1,2.7,76.28769232888261,23,9.990858822105993
R001_1,2.8,76.2884,24,9.9914
R001_1,2.88,76.28896847694678,25,9.991837212337712
R001_1,3.02,76.28986904978954,26,9.992680375541934
R001_1,3.27,76.2914,27,9.9943
